,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Male,58399000,59200500,59992500,60749000,61390500,61988258.5,62511010,62897820,63227073,63555102.5,63918042,64284635.5,64624590,65012579,65474350,66032851,66636248,67258431,68071235,68961730,69706396,70333122,71288531.5,72537788,73732559.5,75092223.5,76475137.5,77736726.5,78993250,80293507,81668171,83071571.5,84513965.5,85926765.5,87300269.5,88657472.5,90029715,91403019,92684526,93910342.5,95063126.5,96114106,97091796.5,97995069.5,98856601.5,99820411,100960441,102078869,103048591.5,103948780.5,104878537.5,105837284.5,106821576,107879064,109003770.5,109991345.5,111003013,112078982,113147676,114187213,115230930,116336007,117439420,118554965,119702185,121239348,122441451,124355104,126161942,127820901,129430000,131036761,132675472,134355166,136006591,137687058,139167449.5,140561025.5,141829728,143128454.5,144512545,145922171.5,147356059.5,148777402.5,150148702.5,151445223.5,152713559,153896257,155092286,156254555,157494939,158894847,159873950,161038218
Female,56570000,57412500,58223500,59023000,59747500,60433612,61047184.5,61542239.5,61982544,62421165.5,62893960.5,63367070.5,63814414.5,64312305,64877978.5,65468231,66126210.5,66872581,67728218,68606619,69456359,70325243.5,71468787,72840898.5,74177156.5,75637550,77099515.5,78478588,79875216,81311516,82810357,84345545,85929615,87506251.5,89055496.5,90592920.5,92151604.5,93711590,95205241.5,96654952,98032750.5,99317544.5,100544400.5,101713984.5,102834897.5,104044149,105395984.5,106699480,107853813,108932577.5,110035026,111166897,112315718.5,113532921,114816245.5,116148738.5,117442511,118566486,119654913,120681195,121707351,122773219,123827908,124906935,126002462,127470525,128766655,130427451,132167065,133778699,135323646,136844201,138418798,140010256,141526944,143039023,144398233.5,145736048.5,147036835,148328161,149648403.5,151026084,152449500,153885184,155284045,156609751.5,157877447,159015348,160145120,161270076,162463106,163666460,164783019,165932991
Total,114969000,116613000,118216000,119772000,121138000,122421870.5,123558194.5,124440059.5,125209617,125976268,126812002.5,127651706,128439004.5,129324884,130352328.5,131501082,132762458.5,134131012,135799453,137568349,139162755,140658365.5,142757318.5,145378686.5,147909716,150729773.5,153574653,156215314.5,158868466,161605023,164478528,167417116.5,170443580.5,173433017,176355766,179250393,182181319.5,185114609,187889767.5,190565294.5,193095877,195431650.5,197636197,199709054,201691499,203864560,206356425.5,208778349,210902404.5,212881358,214913563.5,217004181.5,219137294.5,221411985,223820016,226140084,228445524,230645468,232802589,234868408,236938281,239109226,241267328,243461900,245704647,248709873,251208106,254782555,258329007,261599600,264753646,267880962,271094270,274365422,277533535,280726081,283565683,286297074,288866563,291456615.5,294160948.5,296948255.5,299805559.5,302662586.5,305432747.5,308054975,310591006,312911605,315237406,317524631,319958045,322311308,324656969,326971209
